team1,team2,win
pet-beaver.pet-monkey.pet-sloth.pet-dog.pet-giraffe,pet-squirrel.pet-worm.pet-hippo.pet-mosquito.pet-fly,1
pet-crocodile.pet-giraffe.pet-fly.pet-sheep.pet-dirty-rat,pet-sloth.pet-sauropod.pet-elephant.pet-tyrannosaurus.pet-buffalo,0
pet-buffalo.pet-buffalo.pet-monkey.pet-crocodile.pet-rhino,pet-parrot.pet-peacock.pet-boar.pet-elephant.pet-ladybug,0
pet-shrimp.pet-gorilla.pet-sheep.pet-rabbit.pet-sauropod,pet-bison.pet-sauropod.pet-snake.pet-ant.pet-rhino,1
pet-flamingo.pet-rabbit.pet-hippo.pet-scorpion.pet-octopus,pet-giraffe.pet-shrimp.pet-leopard.pet-beetle.pet-ant,0
pet-penguin.pet-tyrannosaurus.pet-skunk.pet-swan.pet-bat,pet-dirty-rat.pet-scorpion.pet-gorilla.pet-tropical-fish.pet-giraffe,0
pet-rhino.pet-fly.pet-cow.pet-dog.pet-buffalo,pet-rat.pet-sauropod.pet-sauropod.pet-hedgehog.pet-monkey,0
pet-cow.pet-squirrel.pet-beetle.pet-tabby-cat.pet-tyrannosaurus,pet-ant.pet-blowfish.pet-crab.pet-cat.pet-duck,1
pet-elephant.pet-llama.pet-whale.pet-parrot.pet-goat,pet-swan.pet-caterpillar.pet-parrot.pet-badger.pet-puppy,0
pet-worm.pet-monkey.pet-giraffe.pet-beaver.pet-buffalo,pet-bluebird.pet-bat.pet-hatching-chick.pet-hedgehog.pet-parrot,2
pet-turtle.pet-dolphin.pet-leopard.pet-monkey.pet-worm,pet-sauropod.pet-sloth.pet-otter.pet-whale.pet-cat,1
pet-cow.pet-dog.pet-cricket.pet-spider.pet-sauropod,pet-shrimp.pet-tyrannosaurus.pet-ladybug.pet-duck.pet-hedgehog,0
pet-elephant.pet-goat.pet-leopard.pet-tabby-cat.pet-rabbit,pet-lobster.pet-eagle.pet-turtle.pet-rabbit.pet-ox,1
pet-bison.pet-seal.pet-skunk.pet-bee.pet-bison,pet-skunk.pet-gorilla.pet-bison.pet-leopard.pet-tyrannosaurus,1
pet-crocodile.pet-duck.pet-chicken.pet-blowfish.pet-turkey,pet-deer.pet-leopard.pet-cricket.pet-rhino.pet-puppy,1
pet-mosquito.pet-butterfly.pet-hatching-chick.pet-gorilla.pet-penguin,pet-spider.pet-deer.pet-rooster.pet-penguin.pet-dog,0
pet-badger.pet-dirty-rat.pet-puppy.pet-parrot.pet-spider,pet-flamingo.pet-ladybug.pet-otter.pet-shrimp.pet-mosquito,0
pet-duck.pet-mosquito.pet-rhino.pet-horse.pet-cat,pet-boar.pet-cow.pet-sauropod.pet-blowfish.pet-puppy,1
pet-turkey.pet-cow.pet-dromedary.pet-flamingo.pet-rooster,pet-dromedary.pet-parrot.pet-dromedary.pet-bat.pet-pig,0
