team1,team2,win
pet-ant,pet-ant,2
pet-ant,pet-beaver,2
pet-ant,pet-beetle,1
pet-ant,pet-bluebird,2
pet-ant,pet-cricket,1
pet-ant,pet-duck,1
pet-ant,pet-fish,1
pet-ant,pet-horse,2
pet-ant,pet-ladybug,1
pet-ant,pet-mosquito,1
pet-ant,pet-otter,2
pet-ant,pet-pig,2
pet-ant,pet-sloth,2
pet-ant,pet-bat,2
pet-ant,pet-crab,1
pet-ant,pet-dodo,1
pet-ant,pet-dog,2
pet-ant,pet-dromedary,1
pet-ant,pet-elephant,1
pet-ant,pet-flamingo,2
pet-ant,pet-hedgehog,2
pet-ant,pet-peacock,1
pet-ant,pet-rat,1
pet-ant,pet-shrimp,1
pet-ant,pet-spider,1
pet-ant,pet-swan,1
pet-ant,pet-tabby-cat,1
pet-ant,pet-badger,1
pet-ant,pet-blowfish,1
pet-ant,pet-caterpillar,1
pet-ant,pet-camel,1
pet-ant,pet-hatching-chick,2
pet-ant,pet-giraffe,1
pet-ant,pet-kangaroo,2
pet-ant,pet-owl,1
pet-ant,pet-ox,1
pet-ant,pet-puppy,2
pet-ant,pet-rabbit,2
pet-ant,pet-sheep,1
pet-ant,pet-snail,2
pet-ant,pet-tropical-fish,1
pet-ant,pet-turtle,2
pet-ant,pet-whale,1
pet-ant,pet-bison,1
pet-ant,pet-buffalo,1
pet-ant,pet-deer,1
pet-ant,pet-dolphin,1
pet-ant,pet-hippo,1
pet-ant,pet-llama,1
pet-ant,pet-lobster,1
pet-ant,pet-monkey,2
pet-ant,pet-penguin,2
pet-ant,pet-poodle,2
pet-ant,pet-rooster,1
pet-ant,pet-skunk,1
pet-ant,pet-squirrel,2
pet-ant,pet-worm,2
pet-ant,pet-chicken,2
pet-ant,pet-cow,1
pet-ant,pet-crocodile,1
pet-ant,pet-eagle,1
pet-ant,pet-goat,1
pet-ant,pet-microbe,2
pet-ant,pet-parrot,1
pet-ant,pet-rhino,1
pet-ant,pet-scorpion,2
pet-ant,pet-seal,1
pet-ant,pet-turkey,1
pet-ant,pet-cat,1
pet-ant,pet-boar,1
pet-ant,pet-dragon,1
pet-ant,pet-fly,1
pet-ant,pet-gorilla,1
pet-ant,pet-leopard,1
pet-ant,pet-mammoth,1
pet-ant,pet-octopus,1
pet-ant,pet-sauropod,1
pet-ant,pet-snake,1
pet-ant,pet-tiger,1
pet-ant,pet-tyrannosaurus,1
pet-ant,pet-dirty-rat,2
pet-ant,pet-butterfly,2
pet-ant,pet-bee,2
pet-ant,pet-none,0
pet-beaver,pet-beaver,2
pet-beaver,pet-beetle,1
pet-beaver,pet-bluebird,2
pet-beaver,pet-cricket,2
pet-beaver,pet-duck,2
pet-beaver,pet-fish,1
pet-beaver,pet-horse,2
pet-beaver,pet-ladybug,2
pet-beaver,pet-mosquito,2
pet-beaver,pet-otter,0
pet-beaver,pet-pig,2
pet-beaver,pet-sloth,0
pet-beaver,pet-bat,2
pet-beaver,pet-crab,1
pet-beaver,pet-dodo,1
pet-beaver,pet-dog,2
pet-beaver,pet-dromedary,1
pet-beaver,pet-elephant,1
pet-beaver,pet-flamingo,2
pet-beaver,pet-hedgehog,2
pet-beaver,pet-peacock,1
pet-beaver,pet-rat,1
pet-beaver,pet-shrimp,1
pet-beaver,pet-spider,1
pet-beaver,pet-swan,2
pet-beaver,pet-tabby-cat,1
pet-beaver,pet-badger,1
pet-beaver,pet-blowfish,1
pet-beaver,pet-caterpillar,2
pet-beaver,pet-camel,1
pet-beaver,pet-hatching-chick,0
pet-beaver,pet-giraffe,1
pet-beaver,pet-kangaroo,0
pet-beaver,pet-owl,1
pet-beaver,pet-ox,2
pet-beaver,pet-puppy,0
pet-beaver,pet-rabbit,2
pet-beaver,pet-sheep,1
pet-beaver,pet-snail,2
pet-beaver,pet-tropical-fish,1
pet-beaver,pet-turtle,0
pet-beaver,pet-whale,1
pet-beaver,pet-bison,1
pet-beaver,pet-buffalo,1
pet-beaver,pet-deer,1
pet-beaver,pet-dolphin,1
pet-beaver,pet-hippo,1
pet-beaver,pet-llama,1
pet-beaver,pet-lobster,1
pet-beaver,pet-monkey,0
pet-beaver,pet-penguin,0
pet-beaver,pet-poodle,2
pet-beaver,pet-rooster,1
pet-beaver,pet-skunk,1
pet-beaver,pet-squirrel,2
pet-beaver,pet-worm,2
pet-beaver,pet-chicken,0
pet-beaver,pet-cow,1
pet-beaver,pet-crocodile,1
pet-beaver,pet-eagle,1
pet-beaver,pet-goat,1
pet-beaver,pet-microbe,0
pet-beaver,pet-parrot,1
pet-beaver,pet-rhino,1
pet-beaver,pet-scorpion,2
pet-beaver,pet-seal,1
pet-beaver,pet-turkey,1
pet-beaver,pet-cat,1
pet-beaver,pet-boar,1
pet-beaver,pet-dragon,1
pet-beaver,pet-fly,1
pet-beaver,pet-gorilla,1
pet-beaver,pet-leopard,1
pet-beaver,pet-mammoth,1
pet-beaver,pet-octopus,1
pet-beaver,pet-sauropod,1
pet-beaver,pet-snake,1
pet-beaver,pet-tiger,1
pet-beaver,pet-tyrannosaurus,1
pet-beaver,pet-dirty-rat,0
pet-beaver,pet-butterfly,2
pet-beaver,pet-bee,0
pet-beaver,pet-none,0
pet-beetle,pet-beetle,2
pet-beetle,pet-bluebird,0
pet-beetle,pet-cricket,0
pet-beetle,pet-duck,0
pet-beetle,pet-fish,2
pet-beetle,pet-horse,0
pet-beetle,pet-ladybug,0
pet-beetle,pet-mosquito,2
pet-beetle,pet-otter,0
pet-beetle,pet-pig,2
pet-beetle,pet-sloth,0
pet-beetle,pet-bat,2
