team1,team2,win,team1_tier,team2_tier
pet-mosquito.pet-bluebird.pet-hatching-chick,pet-ladybug.pet-owl.pet-lobster,1,5,8
pet-otter.pet-seal.pet-gorilla,pet-snake.pet-camel.pet-buffalo,0,12,13
pet-caterpillar.pet-beetle.pet-rabbit,pet-goat.pet-tabby-cat.pet-mosquito,1,7,8
pet-giraffe.pet-tabby-cat.pet-microbe,pet-tabby-cat.pet-bee.pet-squirrel,1,9,6
pet-turkey.pet-lobster.pet-hippo,pet-puppy.pet-caterpillar.pet-cricket,0,13,7
pet-shrimp.pet-penguin.pet-ladybug,pet-crab.pet-elephant.pet-boar,1,7,10
pet-cow.pet-otter.pet-beetle,pet-penguin.pet-lobster.pet-elephant,1,7,10
pet-peacock.pet-tropical-fish.pet-eagle,pet-owl.pet-rabbit.pet-bison,0,10,10
pet-seal.pet-crab.pet-duck,pet-crab.pet-scorpion.pet-hippo,1,8,11
pet-dodo.pet-tiger.pet-flamingo,pet-shrimp.pet-octopus.pet-deer,1,10,12
pet-dromedary.pet-bluebird.pet-horse,pet-caterpillar.pet-ladybug.pet-beaver,0,4,5
pet-swan.pet-cat.pet-gorilla,pet-boar.pet-buffalo.pet-cat,1,14,16
pet-monkey.pet-squirrel.pet-dirty-rat,pet-worm.pet-ox.pet-badger,1,9,10
pet-flamingo.pet-eagle.pet-camel,pet-rhino.pet-dirty-rat.pet-microbe,0,10,9
pet-puppy.pet-duck.pet-dodo,pet-rooster.pet-tabby-cat.pet-chicken,1,6,11
pet-deer.pet-dirty-rat.pet-crab,pet-goat.pet-ladybug.pet-ladybug,0,6,7
pet-badger.pet-cricket.pet-pig,pet-monkey.pet-snake.pet-microbe,1,5,15
pet-bison.pet-caterpillar.pet-chicken,pet-hatching-chick.pet-squirrel.pet-beaver,0,12,8
pet-eagle.pet-goat.pet-squirrel,pet-tabby-cat.pet-lobster.pet-tiger,0,14,12
pet-kangaroo.pet-penguin.pet-dolphin,pet-crab.pet-boar.pet-turkey,1,11,13
pet-kangaroo.pet-fish.pet-snail,pet-whale.pet-buffalo.pet-eagle,1,7,13
pet-horse.pet-tiger.pet-pig,pet-cow.pet-dromedary.pet-cow,1,8,12
pet-camel.pet-eagle.pet-whale,pet-peacock.pet-fish.pet-cat,0,12,9
pet-snail.pet-otter.pet-beaver,pet-scorpion.pet-peacock.pet-bluebird,1,5,8
pet-ant.pet-tabby-cat.pet-puppy,pet-puppy.pet-crab.pet-fly,1,6,11
pet-sauropod.pet-tyrannosaurus.pet-turkey,pet-horse.pet-whale.pet-dragon,0,17,11
pet-blowfish.pet-hatching-chick.pet-penguin,pet-dolphin.pet-cricket.pet-dog,1,10,8
pet-crocodile.pet-mosquito.pet-goat,pet-ant.pet-cow.pet-otter,0,11,7
pet-buffalo.pet-dodo.pet-mosquito,pet-none.pet-beetle.pet-cow,0,7,6
pet-scorpion.pet-pig.pet-cow,pet-camel.pet-cat.pet-bee,0,11,9
pet-hedgehog.pet-tabby-cat.pet-ant,pet-flamingo.pet-hedgehog.pet-ant,2,5,5
pet-ox.pet-boar.pet-scorpion,pet-owl.pet-crab.pet-rhino,0,14,10
pet-butterfly.pet-monkey.pet-bluebird,pet-none.pet-penguin.pet-gorilla,1,6,10
pet-snail.pet-ant.pet-leopard,pet-dragon.pet-dirty-rat.pet-elephant,1,10,8
pet-buffalo.pet-turtle.pet-horse,pet-chicken.pet-eagle.pet-sloth,1,8,11
pet-rabbit.pet-squirrel.pet-tiger,pet-tabby-cat.pet-monkey.pet-rooster,1,13,11
pet-shrimp.pet-worm.pet-monkey,pet-beetle.pet-goat.pet-goat,1,11,11
pet-flamingo.pet-eagle.pet-peacock,pet-rooster.pet-swan.pet-hippo,0,9,10
pet-puppy.pet-rat.pet-deer,pet-deer.pet-microbe.pet-bat,0,9,10
pet-duck.pet-llama.pet-puppy,pet-hedgehog.pet-mammoth.pet-goat,1,8,13
pet-lobster.pet-rhino.pet-hedgehog,pet-squirrel.pet-squirrel.pet-camel,0,11,11
pet-cricket.pet-otter.pet-skunk,pet-hippo.pet-otter.pet-sheep,1,6,8
pet-bee.pet-owl.pet-sauropod,pet-sauropod.pet-buffalo.pet-badger,1,9,13
pet-bat.pet-rat.pet-sauropod,pet-tropical-fish.pet-goat.pet-owl,0,10,11
pet-camel.pet-dromedary.pet-puppy,pet-owl.pet-spider.pet-skunk,1,8,9
pet-horse.pet-none.pet-tabby-cat,pet-crocodile.pet-hippo.pet-otter,1,3,10
pet-worm.pet-deer.pet-worm,pet-beetle.pet-microbe.pet-turkey,0,12,10
pet-hatching-chick.pet-puppy.pet-hedgehog,pet-deer.pet-turtle.pet-hatching-chick,1,8,10
pet-deer.pet-penguin.pet-kangaroo,pet-fish.pet-puppy.pet-rooster,0,11,8
pet-dolphin.pet-mosquito.pet-boar,pet-rat.pet-llama.pet-ant,0,11,7
pet-fly.pet-giraffe.pet-flamingo,pet-turkey.pet-llama.pet-otter,0,11,10
pet-ant.pet-dragon.pet-sloth,pet-cat.pet-hippo.pet-peacock,1,8,12
pet-peacock.pet-gorilla.pet-beaver,pet-duck.pet-whale.pet-bat,0,9,7
pet-hedgehog.pet-beaver.pet-snake,pet-tropical-fish.pet-sheep.pet-dodo,1,9,8
pet-bat.pet-caterpillar.pet-swan,pet-rooster.pet-swan.pet-turtle,1,7,9
pet-worm.pet-owl.pet-dromedary,pet-dirty-rat.pet-whale.pet-dodo,1,9,6
pet-bluebird.pet-lobster.pet-hatching-chick,pet-fly.pet-ant.pet-hatching-chick,1,8,10
pet-scorpion.pet-flamingo.pet-poodle,pet-puppy.pet-kangaroo.pet-dragon,1,12,12
pet-crab.pet-eagle.pet-cow,pet-tiger.pet-giraffe.pet-badger,0,12,12
pet-fish.pet-beetle.pet-dolphin,pet-cat.pet-none.pet-crab,0,6,8
pet-pig.pet-penguin.pet-horse,pet-fly.pet-skunk.pet-llama,1,6,14
pet-chicken.pet-lobster.pet-hedgehog,pet-dragon.pet-eagle.pet-fly,1,11,17
pet-lobster.pet-horse.pet-none,pet-microbe.pet-penguin.pet-cricket,1,5,9
pet-blowfish.pet-leopard.pet-buffalo,pet-beetle.pet-chicken.pet-crocodile,0,13,11
pet-dromedary.pet-caterpillar.pet-giraffe,pet-swan.pet-hippo.pet-kangaroo,1,8,9
pet-owl.pet-butterfly.pet-buffalo,pet-monkey.pet-cricket.pet-dragon,2,7,12
pet-otter.pet-microbe.pet-penguin,pet-whale.pet-owl.pet-fly,1,9,13
pet-duck.pet-scorpion.pet-monkey,pet-dog.pet-skunk.pet-ant,1,11,8
pet-dirty-rat.pet-badger.pet-skunk,pet-tiger.pet-dromedary.pet-mosquito,1,7,9
pet-fly.pet-giraffe.pet-mosquito,pet-turtle.pet-tropical-fish.pet-hippo,0,10,10
pet-flamingo.pet-pig.pet-cat,pet-otter.pet-tropical-fish.pet-snake,1,9,10
pet-sauropod.pet-cat.pet-microbe,pet-rooster.pet-dragon.pet-eagle,1,16,15
pet-rat.pet-turkey.pet-snail,pet-deer.pet-camel.pet-bat,1,10,9
pet-gorilla.pet-parrot.pet-mosquito,pet-none.pet-sloth.pet-scorpion,0,11,6
pet-badger.pet-rhino.pet-peacock,pet-giraffe.pet-puppy.pet-tiger,0,10,12
pet-eagle.pet-gorilla.pet-ant,pet-peacock.pet-octopus.pet-owl,0,12,11
pet-skunk.pet-flamingo.pet-flamingo,pet-dromedary.pet-cricket.pet-monkey,0,8,8
pet-chicken.pet-bat.pet-crab,pet-beaver.pet-crocodile.pet-horse,1,9,7
pet-seal.pet-octopus.pet-dirty-rat,pet-seal.pet-eagle.pet-giraffe,1,11,13
pet-llama.pet-cow.pet-seal,pet-spider.pet-eagle.pet-dragon,1,14,13
pet-pig.pet-poodle.pet-fly,pet-microbe.pet-whale.pet-buffalo,0,12,12
pet-dolphin.pet-deer.pet-squirrel,pet-horse.pet-turtle.pet-camel,0,12,7
pet-tropical-fish.pet-mammoth.pet-rabbit,pet-badger.pet-fly.pet-llama,1,12,13
pet-cat.pet-fly.pet-otter,pet-rabbit.pet-mosquito.pet-rabbit,0,13,7
pet-sheep.pet-cow.pet-sloth,pet-crocodile.pet-tropical-fish.pet-llama,2,9,12
pet-tyrannosaurus.pet-badger.pet-mosquito,pet-turtle.pet-ant.pet-rhino,2,10,9
pet-badger.pet-snail.pet-shrimp,pet-gorilla.pet-monkey.pet-hedgehog,2,8,13
pet-flamingo.pet-leopard.pet-dragon,pet-gorilla.pet-camel.pet-microbe,0,14,13
pet-fly.pet-giraffe.pet-blowfish,pet-crab.pet-deer.pet-gorilla,1,12,12
pet-dolphin.pet-otter.pet-tropical-fish,pet-dirty-rat.pet-caterpillar.pet-deer,2,8,7
pet-sauropod.pet-butterfly.pet-swan,pet-snake.pet-eagle.pet-skunk,1,8,15
pet-tropical-fish.pet-lobster.pet-snail,pet-mosquito.pet-bat.pet-dirty-rat,0,10,3
pet-tabby-cat.pet-kangaroo.pet-bee,pet-elephant.pet-caterpillar.pet-kangaroo,2,5,8
pet-penguin.pet-poodle.pet-chicken,pet-fish.pet-crab.pet-deer,1,14,7
pet-ant.pet-chicken.pet-puppy,pet-flamingo.pet-giraffe.pet-tabby-cat,1,9,7
pet-horse.pet-penguin.pet-sheep,pet-penguin.pet-cat.pet-crocodile,1,8,15
pet-ox.pet-sheep.pet-ladybug,pet-puppy.pet-flamingo.pet-seal,1,7,10
pet-elephant.pet-caterpillar.pet-sloth,pet-rhino.pet-kangaroo.pet-tyrannosaurus,1,6,14
pet-scorpion.pet-spider.pet-squirrel,pet-lobster.pet-llama.pet-dolphin,1,11,12
pet-whale.pet-crocodile.pet-rabbit,pet-skunk.pet-blowfish.pet-puppy,0,12,10
pet-goat.pet-mosquito.pet-puppy,pet-butterfly.pet-microbe.pet-parrot,0,9,8
pet-eagle.pet-worm.pet-butterfly,pet-dodo.pet-horse.pet-tiger,0,9,9
pet-turtle.pet-bee.pet-llama,pet-hedgehog.pet-butterfly.pet-seal,1,7,7
pet-cricket.pet-rhino.pet-shrimp,pet-boar.pet-none.pet-scorpion,1,8,11
pet-beetle.pet-dragon.pet-deer,pet-tiger.pet-cat.pet-dragon,1,11,18
pet-shrimp.pet-blowfish.pet-parrot,pet-ox.pet-tyrannosaurus.pet-turtle,0,9,12
pet-snake.pet-hedgehog.pet-dog,pet-cricket.pet-poodle.pet-fly,1,11,12
pet-snake.pet-eagle.pet-microbe,pet-sloth.pet-dodo.pet-llama,0,15,7
pet-eagle.pet-sauropod.pet-pig,pet-beaver.pet-microbe.pet-kangaroo,0,12,8
pet-llama.pet-seal.pet-goat,pet-rat.pet-penguin.pet-shrimp,0,14,8
pet-tyrannosaurus.pet-snake.pet-none,pet-lobster.pet-ladybug.pet-flamingo,0,12,7
pet-tiger.pet-fly.pet-parrot,pet-peacock.pet-giraffe.pet-lobster,0,16,9
pet-gorilla.pet-pig.pet-llama,pet-turkey.pet-badger.pet-dog,0,11,11
pet-boar.pet-peacock.pet-skunk,pet-monkey.pet-peacock.pet-microbe,0,12,11
pet-otter.pet-seal.pet-bluebird,pet-dragon.pet-llama.pet-caterpillar,1,7,13
pet-parrot.pet-squirrel.pet-llama,pet-ox.pet-worm.pet-deer,2,12,11
