team1,team2,win
pet-chicken.pet-mosquito,pet-tiger.pet-crocodile,1
pet-dog.pet-tyrannosaurus,pet-rooster.pet-none,1
pet-giraffe.pet-bluebird,pet-dodo.pet-lobster,1
pet-bluebird.pet-hippo,pet-tropical-fish.pet-dodo,0
pet-horse.pet-kangaroo,pet-peacock.pet-crab,2
pet-monkey.pet-hippo,pet-otter.pet-tiger,0
pet-gorilla.pet-badger,pet-snail.pet-spider,0
pet-cat.pet-sauropod,pet-cow.pet-caterpillar,0
pet-hatching-chick.pet-buffalo,pet-dodo.pet-fly,1
pet-fish.pet-swan,pet-ox.pet-beetle,0
pet-worm.pet-bluebird,pet-scorpion.pet-seal,1
pet-badger.pet-worm,pet-cow.pet-whale,1
pet-penguin.pet-turkey,pet-butterfly.pet-dog,2
pet-tropical-fish.pet-gorilla,pet-dromedary.pet-rhino,0
pet-beaver.pet-butterfly,pet-puppy.pet-tropical-fish,2
pet-llama.pet-tabby-cat,pet-dragon.pet-none,2
pet-seal.pet-octopus,pet-boar.pet-duck,1
pet-octopus.pet-whale,pet-rabbit.pet-tropical-fish,0
pet-peacock.pet-gorilla,pet-octopus.pet-spider,2
pet-cat.pet-lobster,pet-dolphin.pet-dodo,1
pet-octopus.pet-sloth,pet-rhino.pet-horse,0
pet-snail.pet-sheep,pet-turtle.pet-goat,2
pet-whale.pet-mammoth,pet-crocodile.pet-horse,1
pet-bluebird.pet-bee,pet-tiger.pet-lobster,1
pet-ant.pet-peacock,pet-octopus.pet-mosquito,1
pet-microbe.pet-llama,pet-turkey.pet-rabbit,1
pet-shrimp.pet-pig,pet-bat.pet-ladybug,2
pet-tyrannosaurus.pet-goat,pet-poodle.pet-hatching-chick,0
pet-pig.pet-duck,pet-ladybug.pet-tropical-fish,1
pet-crab.pet-dog,pet-octopus.pet-sloth,1
pet-caterpillar.pet-llama,pet-rabbit.pet-pig,2
pet-hatching-chick.pet-microbe,pet-leopard.pet-dodo,1
pet-beetle.pet-squirrel,pet-rhino.pet-beetle,1
pet-rooster.pet-sheep,pet-dolphin.pet-swan,0
pet-bat.pet-mammoth,pet-peacock.pet-poodle,0
pet-buffalo.pet-giraffe,pet-rhino.pet-duck,1
pet-monkey.pet-parrot,pet-tropical-fish.pet-chicken,2
pet-microbe.pet-rabbit,pet-tropical-fish.pet-snake,1
pet-buffalo.pet-microbe,pet-dolphin.pet-blowfish,1
pet-fish.pet-butterfly,pet-tropical-fish.pet-dirty-rat,0
pet-camel.pet-rabbit,pet-dirty-rat.pet-squirrel,0
pet-peacock.pet-poodle,pet-cat.pet-lobster,1
pet-duck.pet-butterfly,pet-cat.pet-boar,1
pet-tropical-fish.pet-dragon,pet-caterpillar.pet-ox,0
pet-none.pet-dog,pet-crab.pet-caterpillar,1
pet-hatching-chick.pet-dog,pet-puppy.pet-pig,2
pet-mammoth.pet-horse,pet-none.pet-beetle,0
pet-dromedary.pet-blowfish,pet-otter.pet-mammoth,2
pet-snail.pet-cricket,pet-bluebird.pet-dolphin,1
pet-camel.pet-hippo,pet-squirrel.pet-dodo,0
pet-owl.pet-giraffe,pet-beetle.pet-pig,0
pet-puppy.pet-snake,pet-squirrel.pet-fish,0
pet-kangaroo.pet-sloth,pet-skunk.pet-owl,1
pet-parrot.pet-boar,pet-rat.pet-deer,0
pet-hedgehog.pet-tiger,pet-ox.pet-snake,1
pet-poodle.pet-swan,pet-beetle.pet-mammoth,1
pet-worm.pet-buffalo,pet-giraffe.pet-buffalo,2
pet-hippo.pet-bluebird,pet-seal.pet-spider,0
pet-tropical-fish.pet-bluebird,pet-otter.pet-skunk,1
pet-rabbit.pet-fly,pet-dirty-rat.pet-cricket,0
pet-camel.pet-microbe,pet-scorpion.pet-spider,1
pet-flamingo.pet-dromedary,pet-cricket.pet-tabby-cat,2
pet-deer.pet-penguin,pet-kangaroo.pet-hippo,0
